model,layer,region,test_R_2,test_R_2,test_R_2,electrode
,,,mean,std,count,count
GPT,last,G_and_S_cingul-Mid-Ant,0.13737380517237874,,1,1
GPT,last,G_and_S_cingul-Mid-Post,0.3267190233840521,,1,1
GPT,last,G_and_S_subcentral,0.11344142278835034,,1,1
GPT,last,G_front_inf-Opercular,0.15402589486271676,0.07035732736194282,3,3
GPT,last,G_front_inf-Triangul,0.2266856263329251,,1,1
GPT,last,G_front_middle,0.22356092004716904,0.07418193644541893,4,4
GPT,last,G_insular_short,0.16318672023947656,0.03650497457227454,2,2
GPT,last,G_oc-temp_lat-fusifor,0.22008022308620123,0.15081003765641676,2,2
GPT,last,G_oc-temp_med-Parahip,0.29648713669572035,,1,1
GPT,last,G_orbital,0.1462494150522165,0.060457941278149886,2,2
GPT,last,G_pariet_inf-Angular,0.20552653471708973,0.07193088981597291,3,3
GPT,last,G_pariet_inf-Supramar,0.13737380517237874,,1,1
GPT,last,G_postcentral,0.2343840990008832,,1,1
GPT,last,G_precentral,0.25078110716934704,0.05018229155644422,3,3
GPT,last,G_rectus,0.23297821096488194,0.10895369660053168,3,3
GPT,last,G_temp_sup-G_T_transv,0.2587741867222434,,1,1
GPT,last,G_temp_sup-Lateral,0.1714681487480551,0.043756032453877526,5,5
GPT,last,G_temporal_inf,0.21500206138773825,0.11161006830095882,3,3
GPT,last,G_temporal_middle,0.20370921991134525,0.04019755415334766,7,7
GPT,last,Hippocampus,0.21949801005268213,0.09561178406497306,4,4
GPT,last,Inf-Lat-Vent,0.18899963530657438,,1,1
GPT,last,Lat_Fis-ant-Horizont,0.29648713669572035,,1,1
GPT,last,Lat_Fis-ant-Vertical,0.10349919479785863,,1,1
GPT,last,Lat_Fis-post,0.23053486266690415,0.005443642228292457,2,2
GPT,last,Lateral-Ventricle,0.214787965981304,,1,1
GPT,last,Pole_temporal,0.20514703998536038,0.08683275600872671,13,13
GPT,last,S_calcarine,0.29648713669572035,,1,1
GPT,last,S_central,0.2587741867222434,,1,1
GPT,last,S_cingul-Marginalis,0.1244448174758146,,1,1
GPT,last,S_circular_insula_inf,0.13531341763092777,0.0467586296911213,3,3
GPT,last,S_circular_insula_sup,0.16376612279419525,0.06334817756619664,10,10
GPT,last,S_collat_transv_ant,0.1950125623226812,0.07764734520786161,7,7
GPT,last,S_front_inf,0.1822148794747231,0.045853671517866595,5,5
GPT,last,S_front_sup,0.22861024449991463,0.003849236333979042,4,4
GPT,last,S_interm_prim-Jensen,0.23410749633905847,,1,1
GPT,last,S_oc-temp_lat,0.19708199809007731,,1,1
GPT,last,S_orbital-H_Shaped,0.21919593906003518,0.07941888389278079,6,6
GPT,last,S_orbital_lateral,0.3267190233840521,,1,1
GPT,last,S_orbital_med-olfact,0.16722790163122803,0.042220068104499256,2,2
GPT,last,S_pericallosal,0.2285159799535833,0.10126470120341531,3,3
GPT,last,S_postcentral,0.12407136928289098,0.0005281354992763075,2,2
GPT,last,S_precentral-inf-part,0.21783748515038456,0.08841046452394177,4,4
GPT,last,S_precentral-sup-part,0.13253366092054794,0.03858092563953351,4,4
GPT,last,S_temporal_inf,0.2415102932641989,0.04807735566338236,5,5
GPT,last,S_temporal_sup,0.18708067508900425,0.05651351257499864,9,9
GPT,late,Amygdala,0.16501778881284318,0.042006718991869356,6,6
GPT,late,G_and_S_cingul-Ant,0.22382956048221922,0.07965049902004474,7,7
GPT,late,G_and_S_cingul-Mid-Ant,0.16315223505124277,,1,1
GPT,late,G_and_S_cingul-Mid-Post,0.33197494534898575,,1,1
GPT,late,G_and_S_subcentral,0.11785320945247346,,1,1
GPT,late,G_front_inf-Opercular,0.16702817208411294,0.07328417866615053,3,3
GPT,late,G_front_inf-Triangul,0.2289731794141049,,1,1
GPT,late,G_front_middle,0.29231237249462405,0.05269482159988127,2,2
GPT,late,G_insular_short,0.17804407150319884,0.021060237078998314,2,2
GPT,late,G_oc-temp_lat-fusifor,0.2249140774007296,0.15140693145185882,2,2
GPT,late,G_oc-temp_med-Parahip,0.32957323818131545,,1,1
GPT,late,G_orbital,0.14771186730185537,0.06395645163720842,2,2
GPT,late,G_pariet_inf-Angular,0.20548322185897458,0.06922740470438075,3,3
GPT,late,G_pariet_inf-Supramar,0.16315223505124277,,1,1
GPT,late,G_postcentral,0.24669537742067993,,1,1
GPT,late,G_precentral,0.2668309818457272,0.05776050484480484,3,3
GPT,late,G_precuneus,0.1519013121831031,,1,1
GPT,late,G_rectus,0.23495988720313063,0.10846559053262923,3,3
GPT,late,G_temp_sup-G_T_transv,0.25505150680793265,,1,1
GPT,late,G_temp_sup-Lateral,0.19454590442632333,0.036931300216657525,3,3
GPT,late,G_temporal_inf,0.2172313859987708,0.16227189782803617,2,2
GPT,late,G_temporal_middle,0.1919331894268944,0.06415514456969103,3,3
GPT,late,Hippocampus,0.22061254669015729,0.09713748268239217,4,4
GPT,late,Inf-Lat-Vent,0.19293590795515492,,1,1
GPT,late,Lat_Fis-ant-Horizont,0.32957323818131545,,1,1
GPT,late,Lat_Fis-ant-Vertical,0.10248782664855582,,1,1
GPT,late,Lat_Fis-post,0.2378342784173924,0.012531486387979926,2,2
GPT,late,Pole_temporal,0.21361127702304766,0.08463957413611138,13,13
GPT,late,S_calcarine,0.32957323818131545,,1,1
GPT,late,S_central,0.25505150680793265,,1,1
GPT,late,S_cingul-Marginalis,0.12047111419810508,,1,1
GPT,late,S_circular_insula_inf,0.1377589813520614,0.048398281676110246,3,3
GPT,late,S_circular_insula_sup,0.16186518559873975,0.0750217558664043,9,9
GPT,late,S_collat_transv_ant,0.191583760695965,0.07555522695769057,8,8
GPT,late,S_front_inf,0.16278654751962188,0.05222022409005014,3,3
GPT,late,S_front_sup,0.23340372891574865,0.008861099003287519,4,4
GPT,late,S_interm_prim-Jensen,0.2350099660235322,,1,1
GPT,late,S_oc-temp_lat,0.21586820054793343,,1,1
GPT,late,S_oc_middle_and_Lunatus,0.1519013121831031,,1,1
GPT,late,S_orbital-H_Shaped,0.23731408191035436,0.09783371148272799,5,5
GPT,late,S_orbital_lateral,0.33197494534898575,,1,1
GPT,late,S_orbital_med-olfact,0.17697391592742642,0.03414996117789833,3,3
GPT,late,S_pericallosal,0.23304714565592358,0.1064104004343722,3,3
GPT,late,S_postcentral,0.12342965347178197,0.004184006365647313,2,2
GPT,late,S_precentral-inf-part,0.2251765803432312,0.08776396017274322,4,4
GPT,late,S_precentral-sup-part,0.14129456405982183,0.04014470276139054,4,4
GPT,late,S_temporal_inf,0.25132789278245016,0.0541446410321996,4,4
GPT,late,S_temporal_sup,0.1982109949445972,0.05495280490028277,8,8
GPT,middle,Amygdala,0.1765147202247463,0.03274866832880582,5,5
GPT,middle,G_and_S_cingul-Ant,0.21410732571439187,0.06656842440211824,7,7
GPT,middle,G_and_S_cingul-Mid-Ant,0.16186907051358546,,1,1
GPT,middle,G_and_S_subcentral,0.11761758387036647,,1,1
GPT,middle,G_front_inf-Opercular,0.19882749215021417,0.06671880003349148,2,2
GPT,middle,G_front_inf-Triangul,0.231210082739573,,1,1
GPT,middle,G_front_middle,0.2769300787307839,0.028969827894558563,2,2
GPT,middle,G_insular_short,0.17737383234435156,0.02192704446243412,2,2
GPT,middle,G_oc-temp_lat-fusifor,0.11761758387036647,,1,1
GPT,middle,G_oc-temp_med-Parahip,0.29741484048483346,,1,1
GPT,middle,G_orbital,0.19287859417511766,,1,1
GPT,middle,G_pariet_inf-Angular,0.2059576138991128,0.0697805657892734,3,3
GPT,middle,G_pariet_inf-Supramar,0.16186907051358546,,1,1
GPT,middle,G_postcentral,0.24600480808652525,,1,1
GPT,middle,G_precentral,0.25366522478245285,0.045203824526600565,3,3
GPT,middle,G_precuneus,0.1516501762139031,,1,1
GPT,middle,G_rectus,0.1870314504235504,0.09816603149626889,2,2
GPT,middle,G_temp_sup-G_T_transv,0.25644531697673434,,1,1
GPT,middle,G_temp_sup-Lateral,0.18864040332849488,0.03203447637299246,3,3
GPT,middle,G_temporal_middle,0.19334591644983748,0.06558265980005865,3,3
GPT,middle,Hippocampus,0.224661955575926,0.044948460750828687,2,2
GPT,middle,Inf-Lat-Vent,0.19287859417511766,,1,1
GPT,middle,Lat_Fis-ant-Horizont,0.29741484048483346,,1,1
GPT,middle,Lat_Fis-post,0.23860744541304912,0.010461450618622435,2,2
GPT,middle,Pole_temporal,0.175641769630621,0.05780889585828263,10,10
GPT,middle,S_calcarine,0.29741484048483346,,1,1
GPT,middle,S_central,0.25644531697673434,,1,1
GPT,middle,S_cingul-Marginalis,0.12069637129125566,,1,1
GPT,middle,S_circular_insula_inf,0.15524808902274206,0.053217570745440194,2,2
GPT,middle,S_circular_insula_sup,0.18624056093211627,0.06493688086353623,6,6
GPT,middle,S_collat_transv_ant,0.19996550600865687,0.03311822338998859,5,5
GPT,middle,S_front_inf,0.19287859417511766,0.0,2,2
GPT,middle,S_front_sup,0.23490876407631106,0.007397362673476129,4,4
GPT,middle,S_interm_prim-Jensen,0.2350973190693897,,1,1
GPT,middle,S_oc-temp_lat,0.2071355168857908,,1,1
GPT,middle,S_oc_middle_and_Lunatus,0.1516501762139031,,1,1
GPT,middle,S_orbital-H_Shaped,0.224724309090312,0.08327017741744293,5,5
GPT,middle,S_orbital_med-olfact,0.17355158787109312,0.029529928313919245,3,3
